date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:17:17	108171/108171	---M-Z	200	added ('OK')	text/html	etag:%221a68b-601ddbda19678-gzip%22	https://themesflat.co/html/jobtex/home-09.html	C:/project/HangkhongWork/themesflat.co/html/jobtex/home-09.html	(from )
00:17:17	992/992	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2015%20Aug%202024%2017:17:19%20GMT	https://themesflat.co/robots.txt		(from )
00:17:18	7553/7553	---M--	200	added ('OK')	text/css	etag:%221d81-601ddc09ccc9d%22	https://themesflat.co/html/jobtex/fonts/fonts.css	C:/project/HangkhongWork/themesflat.co/html/jobtex/fonts/fonts.css	(from https://themesflat.co/html/jobtex/home-09.html)
00:17:19	12989/12989	---M--	200	added ('OK')	text/css	etag:%2232bd-601ddc373f03b%22	https://themesflat.co/html/jobtex/stylesheets/boostrap-select.min.css	C:/project/HangkhongWork/themesflat.co/html/jobtex/stylesheets/boostrap-select.min.css	(from https://themesflat.co/html/jobtex/home-09.html)
00:17:20	16470/16470	---M--	200	added ('OK')	text/css	etag:%224056-601ddc4147e79%22	https://themesflat.co/html/jobtex/stylesheets/swiper-bundle.min.css	C:/project/HangkhongWork/themesflat.co/html/jobtex/stylesheets/swiper-bundle.min.css	(from https://themesflat.co/html/jobtex/home-09.html)
00:17:21	208186/208186	---M--	200	added ('OK')	text/css	etag:%2232d3a-601ddc39c3116%22	https://themesflat.co/html/jobtex/stylesheets/bootstrap.min.css	C:/project/HangkhongWork/themesflat.co/html/jobtex/stylesheets/bootstrap.min.css	(from https://themesflat.co/html/jobtex/home-09.html)
00:17:21	58079/58079	---M--	200	added ('OK')	text/css	etag:%22e2df-601ddc3f8c4b3%22	https://themesflat.co/html/jobtex/stylesheets/style.css	C:/project/HangkhongWork/themesflat.co/html/jobtex/stylesheets/style.css	(from https://themesflat.co/html/jobtex/home-09.html)
00:17:22	520/520	---M--	200	added ('OK')	image/png	etag:%22208-601ddc12c3040%22	https://themesflat.co/html/jobtex/images/favicon.png	C:/project/HangkhongWork/themesflat.co/html/jobtex/images/favicon.png	(from https://themesflat.co/html/jobtex/home-09.html)
00:17:22	0/0	---M--	200	added ('OK')	text/css	etag:%220-601ddd651bedc%22	https://themesflat.co/html/jobtex/stylesheets/colors/color1.css	C:/project/HangkhongWork/themesflat.co/html/jobtex/stylesheets/colors/color1.css	(from https://themesflat.co/html/jobtex/home-09.html)
00:17:23	53642/53642	---M--	200	added ('OK')	text/css	etag:%22d18a-60882705a4a00%22	https://themesflat.co/html/jobtex/stylesheets/responsive.css	C:/project/HangkhongWork/themesflat.co/html/jobtex/stylesheets/responsive.css	(from https://themesflat.co/html/jobtex/home-09.html)
